connected to 192.168.1.30
FAILURE TO RECV..('integer division or modulo by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('integer division or modulo by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('integer division or modulo by zero',)..RECONNECTING
connected to 192.168.1.30
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 25 R: 40
L: 24 R: 41
L: 23 R: 42
L: 23 R: 42
L: 23 R: 42
L: 23 R: 42
L: 23 R: 42
L: 23 R: 42
L: 23 R: 42
L: 23 R: 42
L: 22 R: 43
L: 22 R: 43
L: 20 R: 45
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 18 R: 47
L: 17 R: 48
L: 14 R: 50
L: 14 R: 50
L: 14 R: 50
L: 14 R: 50
L: 14 R: 50
L: 14 R: 50
L: 14 R: 50
L: 14 R: 50
L: 14 R: 50
L: 14 R: 50
L: 14 R: 51
L: 14 R: 51
L: 14 R: 51
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
