Active on port: 4000
black
[75, 54, 19]
('P, I, D, (E), (T) --->', -25.619689544677737, -13.186760945314116, -17.978427932739258, 77.51818181818182, 1551058413.51575)
('P, I, D, (E), (T) --->', -39.96, -46.55338047265706, -14.340310455322264, 41.27272727272727, 1551058413.723719)
('P, I, D, (E), (T) --->', 0, 0, 0, 0, 1551058413.865115)
('P, I, D, (E), (T) --->', -39.96, -63.23669023632853, 0.0, 0, 1551058413.870337)
('P, I, D, (E), (T) --->', 0, 0, 0, 0, 1551058414.08629)
('P, I, D, (E), (T) --->', -39.96, -71.57834511816426, 0.0, 0, 1551058414.092134)
('P, I, D, (E), (T) --->', 0, 0, 0, 0, 1551058414.282463)
('P, I, D, (E), (T) --->', -39.96, -75.74917255908213, 0.0, 0, 1551058414.287305)
('P, I, D, (E), (T) --->', 0, 0, 0, 0, 1551058414.468303)
('P, I, D, (E), (T) --->', -39.96, -77.83458627954107, 0.0, 0, 1551058414.474218)
('P, I, D, (E), (T) --->', -46.453500000000005, -85.37079313977054, -6.4935000000000045, 12.481818181818182, 1551058414.645247)
('P, I, D, (E), (T) --->', -11.75737046813965, -54.44276703802492, 34.69612953186036, 68.52727272727273, 1551058414.80291)
('P, I, D, (E), (T) --->', 22.65761247253418, -4.56377104647828, 34.41498294067383, 63.1, 1551058415.001301)
('P, I, D, (E), (T) --->', 27.304394348144534, 25.022508824905394, 4.646781875610355, 55.56363636363636, 1551058415.226933)
('P, I, D, (E), (T) --->', 18.63849819946289, 31.149752611915588, -8.665896148681643, 73.47272727272727, 1551058415.454992)
('P, I, D, (E), (T) --->', 2.4252609100341798, 18.000137215991973, -16.21323728942871, 87.19090909090909, 1551058415.675376)
('P, I, D, (E), (T) --->', -13.331981414794923, -4.331912806798936, -15.757242324829102, 90.33636363636364, 1551058415.878701)
('P, I, D, (E), (T) --->', -22.982162475585938, -25.148118878985407, -9.650181060791015, 89.81818181818181, 1551058416.072353)
('P, I, D, (E), (T) --->', -29.130122131347658, -41.70418157084036, -6.147959655761721, 84.63636363636364, 1551058416.314422)
('P, I, D, (E), (T) --->', -29.703126434326173, -50.55521721974635, -0.5730043029785143, 76.32727272727273, 1551058416.523125)
('P, I, D, (E), (T) --->', -24.142500000000002, -49.42010860987318, 5.560626434326171, 69.4090909090909, 1551058416.69333)
('P, I, D, (E), (T) --->', -25.474500000000003, -50.1845543049366, -1.3320000000000007, 66.75454545454545, 1551058416.846257)
