Active on port: 4000
init camera on /dev/video0
green
[54, 129, 95]
red
[7, 253, 142]
('P, I, D, (E), (T) --->', -8.32099705895564, -16.634398861532226, 19.636132090656133, 93.65384615384616, 1551057577.146728)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.638196489721754, 19.636132090656133, 93.57692307692308, 1551057577.17878)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.640095303816516, 19.636132090656133, 93.5, 1551057577.211685)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.6410447108639, 19.636132090656133, 93.73076923076923, 1551057577.247248)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.641519414387588, 19.636132090656133, 93.42307692307692, 1551057577.278872)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.641756766149435, 19.636132090656133, 93.42307692307692, 1551057577.310745)
('P, I, D, (E), (T) --->', -8.416595619907923, -16.73747400298264, 20.004120677081914, 93.42307692307692, 1551057577.346667)
('P, I, D, (E), (T) --->', -8.380696478017853, -16.74943347950917, 20.065773814288946, 92.73076923076923, 1551057577.37945)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.695713798710226, 19.636132090656133, 93.1923076923077, 1551057577.410744)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.668853958310756, 19.636132090656133, 93.5, 1551057577.444043)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.65542403811102, 19.636132090656133, 93.57692307692308, 1551057577.476055)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.760272824608464, 20.065773814288946, 93.26923076923077, 1551057577.508359)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.701133471259872, 19.636132090656133, 93.26923076923077, 1551057577.544141)
('P, I, D, (E), (T) --->', -8.380696478017853, -16.73126321364779, 20.065773814288946, 93.11538461538461, 1551057577.57684)
('P, I, D, (E), (T) --->', -8.265245548498797, -16.630877155322693, 19.636132090656133, 93.34615384615384, 1551057577.607968)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.636435636616987, 19.636132090656133, 93.5, 1551057577.644004)
('P, I, D, (E), (T) --->', -8.416595619907923, -16.734813438216417, 20.004120677081914, 93.26923076923077, 1551057577.675935)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.68840377806385, 19.636132090656133, 93.65384615384616, 1551057577.70792)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.77676269458488, 20.065773814288946, 92.8076923076923, 1551057577.744113)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.709378406248078, 19.636132090656133, 93.57692307692308, 1551057577.776151)
('P, I, D, (E), (T) --->', -8.265245548498797, -16.619934751622836, 19.636132090656133, 93.26923076923077, 1551057577.808259)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.63096443476706, 19.636132090656133, 93.65384615384616, 1551057577.844161)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.63647927633917, 19.636132090656133, 93.73076923076923, 1551057577.87615)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.75080044372254, 20.065773814288946, 93.26923076923077, 1551057577.908048)
