Active on port: 4001
init camera on /dev/video1
P, I, D, (E), (T) ---> -8.27133112237577 -16.541246419009447 -7.416227257554937 51.857142857142854 1546296230.522233
P, I, D, (E), (T) ---> -5.529385420615597 -13.80000863012032 -5.728371311025782 48.464285714285715 1546296230.5516984
P, I, D, (E), (T) ---> -3.5206724398226896 -10.42067675488285 -3.589899802423176 46.785714285714285 1546296230.5849755
P, I, D, (E), (T) ---> -4.9096817762162175 -10.120020153657642 -2.827124578161275 42.285714285714285 1546296230.6232808
P, I, D, (E), (T) ---> -5.698303151600243 -10.758313228429063 -6.006957036657369 41.964285714285715 1546296230.6542182
P, I, D, (E), (T) ---> 0 0 0 0 1546296230.6874366
P, I, D, (E), (T) ---> 0 0 0 0 1546296230.7218468
P, I, D, (E), (T) ---> 0 0 0 0 1546296230.7535255
P, I, D, (E), (T) ---> 0 0 0 0 1546296230.7852006
P, I, D, (E), (T) ---> 0 0 0 0 1546296230.8215692
P, I, D, (E), (T) ---> 0 0 0 0 1546296230.854642
P, I, D, (E), (T) ---> 0 0 0 0 1546296230.8873906
P, I, D, (E), (T) ---> 0 0 0 0 1546296230.9238517
P, I, D, (E), (T) ---> 0 0 0 0 1546296230.9545543
P, I, D, (E), (T) ---> 0 0 0 0 1546296230.9850802
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.022963
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.0529468
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.0856693
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.1214213
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.1529021
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.1847906
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.2229967
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.2540562
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.2849572
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.3224366
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.3527324
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.38431
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.4204938
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.4526165
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.484896
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.5229168
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.552369
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.5887167
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.6225963
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.654494
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.6862967
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.722648
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.7502816
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.7852046
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.819049
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.8533323
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.88407
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.9195645
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.9521515
P, I, D, (E), (T) ---> 0 0 0 0 1546296231.9851654
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.0192838
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.0528476
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.0843549
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.1207497
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.152105
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.1855142
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.2215014
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.253891
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.2822134
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.3190284
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.3514001
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.3873837
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.4190702
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.4537036
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.484096
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.5203907
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.552812
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.5852258
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.6246834
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.6559112
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.6872032
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.7222998
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.753834
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.7855866
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.822805
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.8519835
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.887067
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.922242
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.9535005
P, I, D, (E), (T) ---> 0 0 0 0 1546296232.9867766
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.0202787
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.0524106
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.086333
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.1245098
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.153147
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.1842904
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.2253041
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.2527773
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.284631
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.322397
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.352268
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.3861935
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.4226334
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.4533448
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.4870265
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.5217435
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.5536752
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.5846624
P, I, D, (E), (T) ---> 0 0 0 0 1546296233.621722
