Active on port: 4001
init camera on /dev/video1
green
[52, 132, 93]
red
[8, 253, 139]
('P, I, D, (E), (T) --->', -4.223927334405943, -8.636891007058011, 173.1661031086785, 87.96153846153847, 1551058398.672644)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.54484706146198, 173.1661031086785, 87.53846153846153, 1551058398.704331)
('P, I, D, (E), (T) --->', -4.400085276558258, -8.672508807289248, 172.90237782791678, 86.53846153846153, 1551058398.7372)
('P, I, D, (E), (T) --->', -4.450028182444413, -8.786282586089037, 172.90237782791678, 88.5, 1551058398.772653)
('P, I, D, (E), (T) --->', -4.4514822421230065, -8.844623535167525, 172.90237782791678, 87.88461538461539, 1551058398.804312)
('P, I, D, (E), (T) --->', -4.300107829810457, -8.72241959739422, 173.1770062064561, 88.57692307692308, 1551058398.837166)
('P, I, D, (E), (T) --->', -4.397405340748634, -8.758615139445745, 172.90237782791678, 86.53846153846153, 1551058398.873584)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.605709127655846, 173.1661031086785, 87.73076923076923, 1551058398.905713)
('P, I, D, (E), (T) --->', -4.223927334405943, -8.526781898233866, 173.1661031086785, 87.96153846153847, 1551058398.937313)
('P, I, D, (E), (T) --->', -4.485490155828586, -8.748881104945518, 172.9814495658311, 87.84615384615384, 1551058398.973739)
('P, I, D, (E), (T) --->', -4.485490155828586, -8.859930708301345, 172.9814495658311, 87.38461538461539, 1551058399.005221)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.656366912083646, 173.1661031086785, 87.61538461538461, 1551058399.036165)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.554585013974798, 173.1661031086785, 87.0, 1551058399.07212)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.503694064920372, 173.1661031086785, 87.73076923076923, 1551058399.10478)
('P, I, D, (E), (T) --->', -4.484648889129716, -8.736495921589903, 172.9814495658311, 88.5, 1551058399.136897)
('P, I, D, (E), (T) --->', -4.386894026222535, -8.755141987017486, 172.9705464680535, 88.03846153846153, 1551058399.172542)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.603972551441718, 173.1661031086785, 87.8076923076923, 1551058399.205366)
('P, I, D, (E), (T) --->', -4.402751628103914, -8.704737903824773, 172.90237782791678, 86.46153846153847, 1551058399.236662)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.57877050984536, 173.1661031086785, 87.38461538461539, 1551058399.272145)
('P, I, D, (E), (T) --->', -4.4526519543693155, -8.742037209291995, 172.90237782791678, 87.73076923076923, 1551058399.305024)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.59742016257897, 173.1661031086785, 87.15384615384616, 1551058399.337232)
('P, I, D, (E), (T) --->', -4.454103132185509, -8.752813213474994, 172.90237782791678, 86.65384615384616, 1551058399.372615)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.60280816467047, 173.1661031086785, 87.57692307692308, 1551058399.404522)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.527805640268209, 173.1661031086785, 87.65384615384616, 1551058399.436311)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.490304378067078, 173.1661031086785, 87.57692307692308, 1551058399.472704)
('P, I, D, (E), (T) --->', -4.4514822421230065, -8.696634431156546, 172.90237782791678, 86.96153846153847, 1551058399.505534)
('P, I, D, (E), (T) --->', -4.485490155828586, -8.83380737140686, 172.9814495658311, 88.73076923076923, 1551058399.537098)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.643305243636403, 173.1661031086785, 87.11538461538461, 1551058399.573616)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.548054179751176, 173.1661031086785, 87.57692307692308, 1551058399.604717)
('P, I, D, (E), (T) --->', -4.474963994669565, -8.748991084545153, 172.9814495658311, 85.38461538461539, 1551058399.63609)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.60089710020555, 173.1661031086785, 87.53846153846153, 1551058399.675585)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.526850108035749, 173.1661031086785, 87.8076923076923, 1551058399.70651)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.489826611950848, 173.1661031086785, 87.3076923076923, 1551058399.737145)
