Active on port: 4000
init camera on /dev/video0
green
[55, 112, 107]
red
[10, 248, 153]
('P, I, D, (E), (T) --->', -4.727326441414391, -9.378880747758163, -6.579357665373323, 87.88461538461539, 1551058390.202461)
('P, I, D, (E), (T) --->', -3.2126138768193186, -7.9020542506984, -6.0337990335264635, 87.6923076923077, 1551058390.238553)
('P, I, D, (E), (T) --->', -3.2813175509584767, -7.232344676307677, -6.0337990335264635, 88.0, 1551058390.270816)
('P, I, D, (E), (T) --->', -3.4172444224986975, -7.0334167606525355, -5.877045493487401, 87.6923076923077, 1551058390.302519)
('P, I, D, (E), (T) --->', -4.864428951458422, -8.38113733178469, -6.579357665373323, 87.76923076923077, 1551058390.338532)
('P, I, D, (E), (T) --->', -4.795875145095408, -8.986443810987753, -6.579357665373323, 87.88461538461539, 1551058390.370599)
('P, I, D, (E), (T) --->', -3.2126138768193186, -7.705835782313195, -6.0337990335264635, 87.92307692307692, 1551058390.402363)
('P, I, D, (E), (T) --->', -4.862374413595262, -8.71529230475186, -6.579357665373323, 87.76923076923077, 1551058390.438762)
('P, I, D, (E), (T) --->', -4.931016782460574, -9.288662934836504, -6.579357665373323, 88.07692307692308, 1551058390.470474)
('P, I, D, (E), (T) --->', -4.862374413595262, -9.506705881013513, -6.579357665373323, 87.8076923076923, 1551058390.501904)
('P, I, D, (E), (T) --->', -5.127338853699484, -9.88069179420624, -6.351915349978697, 88.76923076923077, 1551058390.538749)
('P, I, D, (E), (T) --->', -3.406620421971809, -8.34696631907493, -5.887337532089305, 88.88461538461539, 1551058390.570071)
('P, I, D, (E), (T) --->', -4.862374413595262, -9.035857573132727, -6.579357665373323, 87.76923076923077, 1551058390.602416)
('P, I, D, (E), (T) --->', -4.931016782460574, -9.448945569026938, -6.579357665373323, 87.92307692307692, 1551058390.638502)
('P, I, D, (E), (T) --->', -5.066808763152721, -9.791281547666191, -6.42260412533426, 87.84615384615384, 1551058390.67072)
('P, I, D, (E), (T) --->', -3.6755715710221466, -8.571212344855242, -5.830307807968211, 89.07692307692308, 1551058390.705111)
('P, I, D, (E), (T) --->', -4.793738581892171, -9.079344754319791, -6.579357665373323, 87.92307692307692, 1551058390.734252)
('P, I, D, (E), (T) --->', -4.864428951458422, -9.404101328618317, -6.579357665373323, 88.11538461538461, 1551058390.760828)
('P, I, D, (E), (T) --->', -4.862374413595262, -9.56442507790442, -6.579357665373323, 87.84615384615384, 1551058390.789772)
('P, I, D, (E), (T) --->', -3.215994367104031, -7.998206906056241, -6.0337990335264635, 88.0, 1551058390.825807)
('P, I, D, (E), (T) --->', -3.2846159740106486, -7.283719427038769, -6.0337990335264635, 88.0, 1551058390.857731)
('P, I, D, (E), (T) --->', -4.806361691642849, -8.448221405162233, -6.678654235197541, 87.92307692307692, 1551058390.890477)
('P, I, D, (E), (T) --->', -4.806361691642849, -9.030472394223965, -6.678654235197541, 88.03846153846153, 1551058390.929587)
('P, I, D, (E), (T) --->', -3.1439196061490975, -7.65915580326108, -6.0337990335264635, 87.84615384615384, 1551058390.969808)
('P, I, D, (E), (T) --->', -4.862374413595262, -8.691952315225802, -6.579357665373323, 87.84615384615384, 1551058391.014512)
('P, I, D, (E), (T) --->', -3.2846159740106486, -7.630592131623549, -6.0337990335264635, 88.0, 1551058391.058535)
('P, I, D, (E), (T) --->', -3.2193684430581015, -7.034664508869876, -6.0337990335264635, 87.57692307692308, 1551058391.103669)
('P, I, D, (E), (T) --->', -4.806361691642849, -8.323693946077787, -6.678654235197541, 88.07692307692308, 1551058391.147426)
('P, I, D, (E), (T) --->', -3.215994367104031, -7.377841340142925, -6.0337990335264635, 87.6923076923077, 1551058391.181516)
('P, I, D, (E), (T) --->', -4.864428951458422, -8.553349621529884, -6.579357665373323, 88.03846153846153, 1551058391.22496)
('P, I, D, (E), (T) --->', -3.215994367104031, -7.492669177868973, -6.0337990335264635, 87.53846153846153, 1551058391.263712)
('P, I, D, (E), (T) --->', -4.934958030570101, -8.681292619504587, -6.579357665373323, 87.96153846153847, 1551058391.285919)
('P, I, D, (E), (T) --->', -5.001323471482408, -9.341969781234702, -6.42260412533426, 87.8076923076923, 1551058391.308301)
('P, I, D, (E), (T) --->', -3.147382134002669, -7.81836702462002, -6.0337990335264635, 87.76923076923077, 1551058391.328551)
('P, I, D, (E), (T) --->', -4.932989275980162, -8.842172788290172, -6.579357665373323, 87.88461538461539, 1551058391.347743)
('P, I, D, (E), (T) --->', -4.932989275980162, -9.354075670125248, -6.579357665373323, 88.15384615384616, 1551058391.371908)
('P, I, D, (E), (T) --->', -3.420128211422991, -8.097166046485615, -5.877045493487401, 87.76923076923077, 1551058391.391405)
('P, I, D, (E), (T) --->', -3.2813175509584767, -7.329900574201284, -6.0337990335264635, 87.76923076923077, 1551058391.432059)
('P, I, D, (E), (T) --->', -4.931016782460574, -8.595967069561215, -6.579357665373323, 87.76923076923077, 1551058391.459703)
('P, I, D, (E), (T) --->', -4.862374413595262, -9.16035794837587, -6.579357665373323, 87.76923076923077, 1551058391.495398)
('P, I, D, (E), (T) --->', -4.793738581892171, -9.373917556080105, -6.579357665373323, 87.8076923076923, 1551058391.534463)
('P, I, D, (E), (T) --->', -3.21261809565641, -7.899576873696462, -6.0337990335264635, 88.03846153846153, 1551058391.568297)
('P, I, D, (E), (T) --->', -3.2126138768193186, -7.16240231366755, -6.0337990335264635, 87.92307692307692, 1551058391.600857)
('P, I, D, (E), (T) --->', -4.862374413595262, -8.443575570429037, -6.579357665373323, 87.92307692307692, 1551058391.64142)
('P, I, D, (E), (T) --->', -3.2846159740106486, -7.506403759225167, -6.0337990335264635, 87.88461538461539, 1551058391.671783)
('P, I, D, (E), (T) --->', -4.793738581892171, -8.546940461504754, -6.579357665373323, 88.03846153846153, 1551058391.701789)
('P, I, D, (E), (T) --->', -3.2126138768193186, -7.4860841075716955, -6.0337990335264635, 87.76923076923077, 1551058391.737627)
('P, I, D, (E), (T) --->', -3.147382134002669, -6.890424187788517, -6.0337990335264635, 88.15384615384616, 1551058391.768486)
('P, I, D, (E), (T) --->', -4.864428951458422, -8.30964104535268, -6.579357665373323, 87.88461538461539, 1551058391.800364)
('P, I, D, (E), (T) --->', -4.862374413595262, -9.017194936271602, -6.579357665373323, 88.03846153846153, 1551058391.840907)
('P, I, D, (E), (T) --->', -4.862374413595262, -9.370971881731062, -6.579357665373323, 88.07692307692308, 1551058391.871716)
('P, I, D, (E), (T) --->', -5.17792548417566, -9.86341142504119, -6.370721807498228, 88.8076923076923, 1551058391.90075)
('P, I, D, (E), (T) --->', -3.2813175509584767, -8.213023263479073, -6.0337990335264635, 87.92307692307692, 1551058391.938985)
('P, I, D, (E), (T) --->', -3.1439196061490975, -7.250431237888634, -6.0337990335264635, 88.0, 1551058391.968633)
('P, I, D, (E), (T) --->', -3.2846159740106486, -6.909831592954966, -6.0337990335264635, 88.07692307692308, 1551058392.000648)
('P, I, D, (E), (T) --->', -3.2813175509584767, -6.7362333474359595, -6.0337990335264635, 88.07692307692308, 1551058392.037944)
('P, I, D, (E), (T) --->', -4.793738581892171, -8.161855255610151, -6.579357665373323, 88.15384615384616, 1551058392.068464)
('P, I, D, (E), (T) --->', -5.347787525579179, -9.428715153384253, -6.351915349978697, 89.0, 1551058392.100647)
('P, I, D, (E), (T) --->', -4.80863019216855, -9.522987768860677, -6.678654235197541, 88.07692307692308, 1551058392.142003)
('P, I, D, (E), (T) --->', -4.934958030570101, -9.69645191500044, -6.579357665373323, 87.88461538461539, 1551058392.1724)
('P, I, D, (E), (T) --->', -3.2846159740106486, -8.132841931510868, -6.0337990335264635, 87.84615384615384, 1551058392.20294)
('P, I, D, (E), (T) --->', -4.864428951458422, -8.930849917213855, -6.579357665373323, 87.96153846153847, 1551058392.238074)
('P, I, D, (E), (T) --->', -3.215994367104031, -7.681419325710959, -6.0337990335264635, 87.88461538461539, 1551058392.269016)
('P, I, D, (E), (T) --->', -4.800134027648596, -8.640843690504076, -6.579357665373323, 87.88461538461539, 1551058392.300533)
('P, I, D, (E), (T) --->', -4.931016782460574, -9.251438627712613, -6.579357665373323, 87.88461538461539, 1551058392.341294)
('P, I, D, (E), (T) --->', -3.2813175509584767, -7.907036864814783, -6.0337990335264635, 87.84615384615384, 1551058392.372107)
('P, I, D, (E), (T) --->', -3.2813175509584767, -7.234835983365868, -6.0337990335264635, 88.26923076923077, 1551058392.403154)
('P, I, D, (E), (T) --->', -3.2813175509584767, -6.898735542641411, -6.0337990335264635, 87.76923076923077, 1551058392.437453)
('P, I, D, (E), (T) --->', -4.999663919817067, -8.449031691137773, -6.500111144377229, 87.92307692307692, 1551058392.4687)
('P, I, D, (E), (T) --->', -3.1439196061490975, -7.368435451717984, -6.0337990335264635, 87.84615384615384, 1551058392.500583)
('P, I, D, (E), (T) --->', -4.795875145095408, -8.480092870954401, -6.579357665373323, 88.11538461538461, 1551058392.538279)
('P, I, D, (E), (T) --->', -3.2846159740106486, -7.524662409487849, -6.0337990335264635, 87.84615384615384, 1551058392.568641)
('P, I, D, (E), (T) --->', -3.353112231481134, -7.115443436225059, -5.95455251253037, 87.96153846153847, 1551058392.601403)
('P, I, D, (E), (T) --->', -4.931016782460574, -8.488738500573103, -6.579357665373323, 88.0, 1551058392.641296)
('P, I, D, (E), (T) --->', -3.2126138768193186, -7.45698312710587, -6.0337990335264635, 88.0, 1551058392.671549)
('P, I, D, (E), (T) --->', -4.862374413595262, -8.590865977148198, -6.579357665373323, 88.15384615384616, 1551058392.701305)
('P, I, D, (E), (T) --->', -4.862374413595262, -9.157807402169361, -6.579357665373323, 87.76923076923077, 1551058392.73755)
('P, I, D, (E), (T) --->', -4.932989275980162, -9.511892977064843, -6.579357665373323, 87.88461538461539, 1551058392.767286)
('P, I, D, (E), (T) --->', -3.2846159740106486, -8.04056246254307, -6.0337990335264635, 87.96153846153847, 1551058392.801)
('P, I, D, (E), (T) --->', -3.215994367104031, -7.236275598375566, -6.0337990335264635, 87.96153846153847, 1551058392.837819)
('P, I, D, (E), (T) --->', -4.922217705064895, -8.540355504252679, -6.584505071658384, 88.96153846153847, 1551058392.869479)
('P, I, D, (E), (T) --->', -3.160172572057718, -7.430350324184057, -6.133095603350682, 87.96153846153847, 1551058392.90078)
('P, I, D, (E), (T) --->', -5.0604451746579, -8.77562033674993, -6.427751531619322, 88.8076923076923, 1551058392.93832)
('P, I, D, (E), (T) --->', -4.931016782460574, -9.31882695083554, -6.579357665373323, 88.26923076923077, 1551058392.968945)
('P, I, D, (E), (T) --->', -4.864428951458422, -9.523842426876191, -6.579357665373323, 87.84615384615384, 1551058393.000958)
