Active on port: 4001
init camera on /dev/video1
green
[49, 140, 95]
red
[9, 255, 142]
('P, I, D, (E), (T) --->', -33.599434523788744, -67.04354001802604, 172.7594852796571, 86.11538461538461, 1551058200.256198)
('P, I, D, (E), (T) --->', -33.48612564137656, -67.00789565038957, 172.7594852796571, 85.65384615384616, 1551058200.29027)
('P, I, D, (E), (T) --->', -33.27121054979767, -66.77515837499246, 173.04908065990304, 84.96153846153847, 1551058200.321307)
('P, I, D, (E), (T) --->', -33.40119330368813, -66.78877249118436, 172.68238907054757, 84.73076923076923, 1551058200.356748)
('P, I, D, (E), (T) --->', -33.38768689245384, -66.78207313804603, 172.68238907054757, 84.65384615384616, 1551058200.388823)
('P, I, D, (E), (T) --->', -33.63900472423222, -67.03004129325524, 172.7176914564149, 86.42307692307692, 1551058200.422269)
('P, I, D, (E), (T) --->', -33.54069595372238, -67.05571660035, 172.7594852796571, 85.92307692307692, 1551058200.456572)
('P, I, D, (E), (T) --->', -33.54069595372238, -67.06855425389737, 172.7594852796571, 85.26923076923077, 1551058200.487681)
('P, I, D, (E), (T) --->', -33.321243282061886, -66.85552040901058, 173.04908065990304, 84.73076923076923, 1551058200.520458)
('P, I, D, (E), (T) --->', -33.638641911282576, -67.06640211578787, 173.31663589671945, 85.11538461538461, 1551058200.555732)
('P, I, D, (E), (T) --->', -33.598300261320986, -67.13150131921492, 172.7176914564149, 85.5, 1551058200.587779)
('P, I, D, (E), (T) --->', -33.54101779126859, -67.10676845087605, 172.7594852796571, 85.1923076923077, 1551058200.622114)
('P, I, D, (E), (T) --->', -33.608730074305555, -67.16211429974358, 172.7594852796571, 85.92307692307692, 1551058200.656669)
('P, I, D, (E), (T) --->', -33.19425222935644, -66.77530937922822, 173.09002762035226, 84.3076923076923, 1551058200.689209)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.04070976783258, 172.7176914564149, 85.92307692307692, 1551058200.720278)
('P, I, D, (E), (T) --->', -33.860234342549205, -67.3805892264655, 173.3519382825868, 86.57692307692308, 1551058200.755611)
('P, I, D, (E), (T) --->', -33.625778286217354, -67.3160728994501, 172.7176914564149, 85.73076923076923, 1551058200.78765)
('P, I, D, (E), (T) --->', -33.57058443789248, -67.22862088761752, 172.7176914564149, 85.5, 1551058200.821908)
('P, I, D, (E), (T) --->', -33.62696154389829, -67.24127198770705, 172.7594852796571, 86.03846153846153, 1551058200.855618)
('P, I, D, (E), (T) --->', -33.57023130809452, -67.19086730194805, 172.7176914564149, 85.57692307692308, 1551058200.888939)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.24847026715037, 172.7176914564149, 86.07692307692308, 1551058200.922098)
('P, I, D, (E), (T) --->', -33.45539141932343, -67.07962655289862, 172.68238907054757, 85.23076923076923, 1551058200.956515)
('P, I, D, (E), (T) --->', -33.45540979536952, -66.99522307181883, 172.68238907054757, 84.92307692307692, 1551058200.988445)
('P, I, D, (E), (T) --->', -33.360049962325576, -66.85766149823499, 172.68238907054757, 84.57692307692308, 1551058201.022842)
('P, I, D, (E), (T) --->', -33.6223793902804, -67.0512101393979, 172.7594852796571, 86.26923076923077, 1551058201.056205)
('P, I, D, (E), (T) --->', -33.529122792713224, -67.05472786241216, 172.7176914564149, 85.34615384615384, 1551058201.091491)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.18041900942455, 172.7176914564149, 85.84615384615384, 1551058201.122289)
('P, I, D, (E), (T) --->', -33.4830730295441, -67.07328253425638, 172.68238907054757, 84.92307692307692, 1551058201.156313)
('P, I, D, (E), (T) --->', -33.472451657535885, -67.00909292466407, 173.7037590046296, 85.15384615384616, 1551058201.190354)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.1576015405505, 172.7176914564149, 85.84615384615384, 1551058201.222264)
('P, I, D, (E), (T) --->', -33.63622904984459, -67.21502982011984, 172.7594852796571, 85.76923076923077, 1551058201.258282)
('P, I, D, (E), (T) --->', -33.55651518595826, -67.16403009601818, 172.7176914564149, 85.8076923076923, 1551058201.288187)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.23505166418542, 172.7176914564149, 85.92307692307692, 1551058201.320606)
('P, I, D, (E), (T) --->', -33.38768689245384, -67.00521272454655, 172.68238907054757, 84.26923076923077, 1551058201.35619)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.1556429784496, 172.7176914564149, 85.84615384615384, 1551058201.388076)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.23087656744327, 172.7176914564149, 85.6923076923077, 1551058201.421971)
('P, I, D, (E), (T) --->', -33.64989448095446, -67.26533276467609, 172.7594852796571, 86.03846153846153, 1551058201.458376)
('P, I, D, (E), (T) --->', -33.427716003496926, -67.06038238583497, 172.68238907054757, 84.92307692307692, 1551058201.488543)
('P, I, D, (E), (T) --->', -33.61204183261199, -67.14223302552948, 172.7176914564149, 85.73076923076923, 1551058201.519644)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.22415312894108, 172.7176914564149, 86.0, 1551058201.556376)
('P, I, D, (E), (T) --->', -33.6117562188482, -67.22383278331874, 172.7176914564149, 85.65384615384616, 1551058201.588147)
('P, I, D, (E), (T) --->', -33.56786881894172, -67.1797852106011, 172.7594852796571, 85.65384615384616, 1551058201.622019)
('P, I, D, (E), (T) --->', -33.63622904984459, -67.22612165514514, 172.7594852796571, 85.61538461538461, 1551058201.655681)
('P, I, D, (E), (T) --->', -34.037494930559944, -67.65055575813251, 172.10030393535715, 84.61538461538461, 1551058201.687959)
('P, I, D, (E), (T) --->', -33.427716003496926, -67.25299388256317, 172.68238907054757, 84.76923076923077, 1551058201.720469)
('P, I, D, (E), (T) --->', -33.34624296637361, -66.9727399076552, 173.04908065990304, 84.88461538461539, 1551058201.755895)
('P, I, D, (E), (T) --->', -33.57023130809452, -67.05660126192211, 172.7176914564149, 85.73076923076923, 1551058201.788571)
('P, I, D, (E), (T) --->', -33.231136517535134, -66.75943714849619, 173.09002762035226, 84.61538461538461, 1551058201.82212)
('P, I, D, (E), (T) --->', -33.640814516889066, -67.02053309113717, 172.7594852796571, 85.76923076923077, 1551058201.856592)
('P, I, D, (E), (T) --->', -33.427716003496926, -66.93798254906551, 172.68238907054757, 84.6923076923077, 1551058201.893035)
('P, I, D, (E), (T) --->', -33.680850258290235, -67.14984153282299, 172.7176914564149, 85.92307692307692, 1551058201.925149)
('P, I, D, (E), (T) --->', -33.427716003496926, -67.00263676990842, 172.68238907054757, 84.76923076923077, 1551058201.961652)
('P, I, D, (E), (T) --->', -33.542812353411136, -67.04413073836534, 172.7176914564149, 85.5, 1551058201.991829)
('P, I, D, (E), (T) --->', -33.63622904984459, -67.15829441902726, 172.7594852796571, 85.76923076923077, 1551058202.024201)
('P, I, D, (E), (T) --->', -33.584279015627686, -67.16342622514131, 172.7176914564149, 85.1923076923077, 1551058202.061478)
('P, I, D, (E), (T) --->', -33.427716003496926, -67.00942911606758, 172.68238907054757, 84.92307692307692, 1551058202.091761)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.15775117421012, 172.7176914564149, 85.84615384615384, 1551058202.123248)
('P, I, D, (E), (T) --->', -33.58429744580934, -67.1631730329144, 172.7176914564149, 85.88461538461539, 1551058202.156137)
('P, I, D, (E), (T) --->', -33.42774144399442, -67.00932796045163, 172.68238907054757, 84.84615384615384, 1551058202.188104)
('P, I, D, (E), (T) --->', -33.34656671259404, -66.85123069281985, 172.68238907054757, 84.5, 1551058202.221182)
('P, I, D, (E), (T) --->', -33.58429744580934, -67.00991279221927, 172.7176914564149, 85.42307692307692, 1551058202.257083)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.1580114743281, 172.7176914564149, 85.84615384615384, 1551058202.288986)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.23206081538252, 172.7176914564149, 85.92307692307692, 1551058202.320236)
('P, I, D, (E), (T) --->', -33.4012116542911, -67.01724206198236, 172.68238907054757, 84.5, 1551058202.356291)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.16167610920965, 172.7176914564149, 85.92307692307692, 1551058202.387043)
('P, I, D, (E), (T) --->', -33.25939455912169, -66.84023261372651, 173.04908065990304, 84.46153846153847, 1551058202.42156)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.07317138508174, 172.7176914564149, 86.07692307692308, 1551058202.45675)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.18964077075934, 172.7176914564149, 86.23076923076923, 1551058202.489223)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.24785700155601, 172.7176914564149, 86.0, 1551058202.518971)
('P, I, D, (E), (T) --->', -33.34591058894702, -66.96983908972503, 172.68238907054757, 84.73076923076923, 1551058202.556138)
('P, I, D, (E), (T) --->', -33.62524036519372, -67.11015991005624, 172.7176914564149, 85.92307692307692, 1551058202.588421)
('P, I, D, (E), (T) --->', -33.59802374681087, -67.15310370183899, 172.7176914564149, 85.5, 1551058202.622741)
('P, I, D, (E), (T) --->', -33.61204183261199, -67.18859368353148, 172.7176914564149, 85.57692307692308, 1551058202.656795)
('P, I, D, (E), (T) --->', -33.427716003496926, -67.02201284526267, 172.68238907054757, 85.07692307692308, 1551058202.687186)
('P, I, D, (E), (T) --->', -33.321243282061886, -66.83224970469323, 173.04908065990304, 84.65384615384616, 1551058202.720641)
('P, I, D, (E), (T) --->', -33.63622904984459, -67.0523539021912, 172.7594852796571, 85.6923076923077, 1551058202.756663)
('P, I, D, (E), (T) --->', -33.54069595372238, -67.06687290481798, 172.7594852796571, 85.5, 1551058202.78696)
('P, I, D, (E), (T) --->', -33.427716003496926, -66.96115245590592, 172.68238907054757, 84.6923076923077, 1551058202.822952)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.13363130617142, 172.7176914564149, 86.07692307692308, 1551058202.852945)
('P, I, D, (E), (T) --->', -33.427716003496926, -66.99453165658264, 172.68238907054757, 85.0, 1551058202.888099)
('P, I, D, (E), (T) --->', -33.559146967926694, -67.05641279621801, 172.7594852796571, 85.26923076923077, 1551058202.919994)
('P, I, D, (E), (T) --->', -33.63622904984459, -67.1644354479536, 172.7594852796571, 85.76923076923077, 1551058202.957432)
('P, I, D, (E), (T) --->', -33.42774144399442, -67.00995916797122, 172.68238907054757, 85.07692307692308, 1551058202.989425)
('P, I, D, (E), (T) --->', -33.57730534942459, -67.0822849334102, 172.7594852796571, 85.26923076923077, 1551058203.022371)
('P, I, D, (E), (T) --->', -33.61204183261199, -67.15318429931709, 172.7176914564149, 85.57692307692308, 1551058203.054218)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.22964722787702, 172.7176914564149, 85.92307692307692, 1551058203.086944)
('P, I, D, (E), (T) --->', -33.42774144399442, -67.04256505793293, 172.68238907054757, 85.0, 1551058203.119102)
('P, I, D, (E), (T) --->', -33.56786881894172, -67.08915134790819, 172.7594852796571, 85.96153846153847, 1551058203.155425)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.19763075217256, 172.7176914564149, 85.92307692307692, 1551058203.186615)
('P, I, D, (E), (T) --->', -33.42774144399442, -67.0265568200807, 172.68238907054757, 84.76923076923077, 1551058203.225766)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.1663150262167, 172.7176914564149, 85.92307692307692, 1551058203.259744)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.23621259132682, 172.7176914564149, 86.15384615384616, 1551058203.289602)
('P, I, D, (E), (T) --->', -33.427716003496926, -67.04582229916033, 172.68238907054757, 84.76923076923077, 1551058203.320642)
('P, I, D, (E), (T) --->', -33.40004587278469, -66.92295702236486, 172.68238907054757, 84.92307692307692, 1551058203.356626)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.1145335894009, 172.7176914564149, 85.76923076923077, 1551058203.386404)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.21032187291893, 172.7176914564149, 86.15384615384616, 1551058203.421585)
('P, I, D, (E), (T) --->', -33.45540979536952, -67.06057073182899, 172.68238907054757, 84.84615384615384, 1551058203.453306)
('P, I, D, (E), (T) --->', -33.63622904984459, -67.16651441575908, 172.7594852796571, 86.0, 1551058203.488269)
('P, I, D, (E), (T) --->', -33.55457145062624, -67.13782865850578, 172.7594852796571, 85.26923076923077, 1551058203.518542)
('P, I, D, (E), (T) --->', -33.25535256597681, -66.8242668952297, 173.09002762035226, 84.73076923076923, 1551058203.554732)
('P, I, D, (E), (T) --->', -33.321243282061886, -66.73337672967673, 173.04908065990304, 84.65384615384616, 1551058203.585511)
('P, I, D, (E), (T) --->', -33.45540979536952, -66.82209816020789, 172.68238907054757, 84.92307692307692, 1551058203.622192)
('P, I, D, (E), (T) --->', -33.321243282061886, -66.73229236216582, 173.04908065990304, 84.57692307692308, 1551058203.65563)
('P, I, D, (E), (T) --->', -33.3047856906926, -66.67093187177551, 173.09002762035226, 84.57692307692308, 1551058203.688851)
('P, I, D, (E), (T) --->', -33.542812353411136, -66.87827828929889, 172.7176914564149, 85.57692307692308, 1551058203.718143)
('P, I, D, (E), (T) --->', -33.42774144399442, -66.86688058864387, 172.68238907054757, 84.84615384615384, 1551058203.756372)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.08647691049828, 172.7176914564149, 85.84615384615384, 1551058203.786148)
('P, I, D, (E), (T) --->', -33.942135097516, -67.48537355276514, 172.10030393535715, 84.5, 1551058203.823969)
('P, I, D, (E), (T) --->', -33.680850258290235, -67.4235370346728, 172.7176914564149, 85.92307692307692, 1551058203.854582)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.36482359555487, 172.7176914564149, 85.84615384615384, 1551058203.884965)
('P, I, D, (E), (T) --->', -33.373576826426444, -67.05598862420388, 172.68238907054757, 84.42307692307692, 1551058203.917613)
('P, I, D, (E), (T) --->', -33.27121054979767, -66.79920486189961, 173.04908065990304, 84.88461538461539, 1551058203.9542)
('P, I, D, (E), (T) --->', -33.45540979536952, -66.85501222631933, 172.68238907054757, 85.0, 1551058203.986528)
('P, I, D, (E), (T) --->', -33.66372207919784, -67.0912281923575, 172.7594852796571, 85.76923076923077, 1551058204.020885)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.19866917439722, 172.7176914564149, 86.0, 1551058204.054984)
('P, I, D, (E), (T) --->', -33.27121054979767, -66.87054513699628, 173.04908065990304, 84.96153846153847, 1551058204.086173)
