Active on port: 4000
black
[90, 5, 47]
('P, I, D, (E), (T) --->', 17.216927215576174, 35.479000423619794, -0.6562441406249988, 70.10909090909091, 1551026294.153335)
('P, I, D, (E), (T) --->', 19.30448041534424, 37.04398062715414, 2.0875531997680667, 69.12727272727273, 1551026294.399208)
('P, I, D, (E), (T) --->', 16.317, 34.83899031357707, -2.9874804153442405, 66.12727272727273, 1551026294.646822)
('P, I, D, (E), (T) --->', 13.486500000000001, 30.905995156788535, -2.830499999999999, 63.77272727272727, 1551026294.906674)
('P, I, D, (E), (T) --->', 9.089544342041016, 24.542541920435283, -4.396955657958985, 63.554545454545455, 1551026295.18571)
('P, I, D, (E), (T) --->', -1.9583464965820314, 10.31292446363561, -11.047890838623047, 65.39090909090909, 1551026295.481805)
('P, I, D, (E), (T) --->', -13.038838165283204, -7.882375933465399, -11.080491668701173, 69.31818181818181, 1551026295.64762)
('P, I, D, (E), (T) --->', -21.364168441772463, -25.305356408505162, -8.32533027648926, 68.80909090909091, 1551026295.880371)
('P, I, D, (E), (T) --->', -25.311180816650392, -37.96385902090297, -3.9470123748779287, 63.79090909090909, 1551026296.080148)
('P, I, D, (E), (T) --->', -26.639989837646485, -45.621919348097975, -1.3288090209960934, 59.07272727272727, 1551026296.279606)
('P, I, D, (E), (T) --->', -21.978, -44.78895967404899, 4.661989837646484, 51.472727272727276, 1551026296.502437)
('P, I, D, (E), (T) --->', -17.4825, -39.87697983702449, 4.4955, 48.09090909090909, 1551026296.734871)
('P, I, D, (E), (T) --->', -14.4855, -34.42398991851225, 2.9970000000000017, 47.70909090909091, 1551026296.884936)
('P, I, D, (E), (T) --->', -13.819500000000001, -31.031494959256126, 0.6659999999999986, 49.78181818181818, 1551026297.081059)
('P, I, D, (E), (T) --->', -13.819500000000001, -29.335247479628066, 0.0, 50.72727272727273, 1551026297.286697)
('P, I, D, (E), (T) --->', -11.4885, -26.156123739814035, 2.3310000000000013, 53.17272727272727, 1551026297.465173)
('P, I, D, (E), (T) --->', -7.1595, -20.23756186990702, 4.329, 54.57272727272727, 1551026297.814086)
('P, I, D, (E), (T) --->', 2.3171436309814455, -7.801637303972064, 9.476643630981446, 59.40909090909091, 1551026298.01404)
('P, I, D, (E), (T) --->', 12.768684700012209, 8.867866048026176, 10.451541069030764, 62.527272727272724, 1551026298.208902)
('P, I, D, (E), (T) --->', 23.85447095489502, 28.288403978908107, 11.085786254882812, 66.34545454545454, 1551026298.467473)
('P, I, D, (E), (T) --->', 39.7935, 53.937701989454055, 15.93902904510498, 76.53636363636363, 1551026298.748136)
('P, I, D, (E), (T) --->', 49.617000000000004, 76.58585099472702, 9.823500000000003, 16.581818181818182, 1551026299.042927)
('P, I, D, (E), (T) --->', 44.1225, 82.41542549736351, -5.494500000000002, 65.63636363636364, 1551026299.187691)
('P, I, D, (E), (T) --->', 20.80144844055176, 62.00916118923352, -23.321051559448243, 57.50909090909091, 1551026299.450476)
('P, I, D, (E), (T) --->', -16.201728424072268, 14.80285217054449, -37.003176864624024, 52.27272727272727, 1551026299.65077)
('P, I, D, (E), (T) --->', -25.64247354125977, -18.241047455987523, -9.4407451171875, 58.30909090909091, 1551026299.878554)
('P, I, D, (E), (T) --->', -6.6441822967529305, -15.764706024746692, 18.998291244506838, 55.78181818181818, 1551026300.040561)
